source,age_ka,age,d18O,d18O_sw,sealevel
Vema 1930,112.53,0.11253,3.37,0.34,-26.83
Vema 1930,113.58,0.11358,3.34,0.31,-24.43
Vema 1930,114.4,0.1144,3.13,0.1,-7.63
Vema 1930,115.5,0.1155,3.07,0.04,-2.83
Vema 1930,116.42,0.11642,3.36,0.33,-26.03
Vema 1930,117.34,0.11734,2.91,0.18,-14.06
Vema 1930,118.61,0.11861,2.77,0.04,-2.86
Vema 1930,119.61,0.11961,2.72,-0.01,1.14
Vema 1930,120.61,0.12061,2.83,0.1,-7.66
Vema 1930,122,0.122,2.78,0.05,-3.66
Vema 1930,123.05,0.12305,2.68,-0.05,4.34
Vema 1930,124.1,0.1241,2.95,0.22,-17.26
Vema 1930,125.52,0.12552,2.77,0.04,-2.86
Vema 1930,126.58,0.12658,2.71,-0.02,1.94
Vema 1930,127.61,0.12761,2.81,0.08,-6.06
Vema 1930,128.96,0.12896,2.94,0.21,-16.46
Vema 1930,129.95,0.12995,2.89,0.16,-12.46
Vema 1930,130.81,0.13081,3.46,0.73,-58.06
Vema 1930,131.96,0.13196,3.59,0.56,-44.43
Vema 1930,132.75,0.13275,3.36,0.33,-26.03
Vema 1930,133.47,0.13347,3.84,0.81,-64.43
846 Liseicki,134.54,0.13454,4.07,1.04,-82.82
846 Liseicki,137.69,0.13769,4.24,1.21,-96.42
846 Liseicki,140.26,0.14026,3.73,0.7,-55.63
846 Liseicki,142.27,0.14227,4.06,1.03,-82.02
846 Liseicki,144.25,0.14425,4.12,1.09,-86.82
846 Liseicki,146.32,0.14632,4.05,1.02,-81.22
846 Liseicki,148.21,0.14821,3.97,0.94,-74.83
846 Liseicki,150.1,0.1501,3.83,0.8,-63.63
846 Liseicki,151.99,0.15199,3.95,0.92,-73.63
846 Liseicki,153.88,0.15388,3.89,0.86,-68.43
846 Liseicki,156.19,0.15619,4.02,0.99,-79.22
846 Liseicki,158.49,0.15849,4.03,1,-80.02
846 Liseicki,161.04,0.16104,4.02,0.99,-78.82
846 Liseicki,163.34,0.16334,3.93,0.9,-71.63
846 Liseicki,165.65,0.16565,3.83,0.8,-63.63
846 Liseicki,167.95,0.16795,3.79,0.76,-60.83
846 Liseicki,170.22,0.17022,3.75,0.72,-57.23
846 Liseicki,172.14,0.17214,3.66,0.63,-50.43
846 Liseicki,174.15,0.17415,3.62,0.59,-46.83
846 Liseicki,176.24,0.17624,3.6,0.57,-45.23
846 Liseicki,178.87,0.17887,3.68,0.65,-52.03
846 Liseicki,182,0.182,3.66,0.63,-50.03
846 Liseicki,185.12,0.18512,3.66,0.63,-50.03
846 Liseicki,187.78,0.18778,3.82,0.79,-62.83
846 Liseicki,190.21,0.19021,3.43,0.39,-31.23
846 Liseicki,192.16,0.19216,3.32,0.28,-22.43
846 Liseicki,194.85,0.19485,3.39,0.36,-28.43
846 Liseicki,197.28,0.19728,3.36,0.33,-26.03
846 Liseicki,200.3,0.2003,2.99,-0.05,3.96
846 Liseicki,203.53,0.20353,3.18,0.14,-11.26
846 Liseicki,206.93,0.20693,3.07,0.04,-2.88
846 Liseicki,210.1,0.2101,2.96,0.23,-18.07
846 Liseicki,213.09,0.21309,2.89,0.16,-12.47
846 Liseicki,216.21,0.21621,2.82,0.08,-6.47
846 Liseicki,219.08,0.21908,3.16,0.42,-33.67
846 Liseicki,221.58,0.22158,3.68,0.95,-76.06
846 Liseicki,224.39,0.22439,3.77,0.74,-58.99
846 Liseicki,227.52,0.22752,3.43,0.4,-31.82
846 Liseicki,230.36,0.23036,3.55,0.52,-41.83
846 Liseicki,233.49,0.23349,3.42,0.38,-30.66
846 Liseicki,236.33,0.23633,3.21,0.17,-13.88
846 Liseicki,240.09,0.24009,3.09,0.06,-4.7
846 Liseicki,243.14,0.24314,3.1,0.07,-5.52
846 Liseicki,245.31,0.24531,3.52,0.49,-39.53
846 Liseicki,247.62,0.24762,3.51,0.48,-38.35
846 Liseicki,250.06,0.25006,3.78,0.75,-59.96
846 Liseicki,252.27,0.25227,3.88,0.85,-68.38
846 Liseicki,254.47,0.25447,3.82,0.79,-63.59
846 Liseicki,256.92,0.25692,3.87,0.84,-67.21
