latitude,modern_surface_d18O_w,modern_surface_temp,modern_surface_d18O_c,modern_mixed_d18O_w,modern_mixed_temp,modern_mixed_d18O_c,modern_min_d18O_w,modern_min_temp,modern_min_d18O_c,modern_max_d18O_w,modern_max_temp,modern_max_d18O_c,eoc_surface_d18O_w,eoc_surface_temp,eoc_surface_d18O_c,eoc_mixed_d18O_w,eoc_mixed_temp,eoc_mixed_d18O_c,eoc_min_d18O_w,eoc_min_temp,eoc_min_d18O_c,eoc_max_d18O_w,eoc_max_temp,eoc_max_d18O_c
15,0.170222,24.1225,-1.3894,0.22631,23.1405,-1.12018,-1.45804,18.3576,-3.14772,0.841358,27.5518,-0.333073,-0.16848,33.2172,-3.67477,-0.04006,32.1592,-3.32237,-0.81523,27.9914,-4.37605,1.07498,36.2569,-2.31488
17.5,0.104386,23.5154,-1.32353,0.17464,22.6273,-1.06023,-1.45978,17.7363,-2.77704,0.820341,26.776,-0.049398,-0.04749,32.3671,-3.37385,0.010218,31.0765,-3.0422,-0.94493,26.072,-4.41134,1.12235,34.7773,-1.94131
20,0.142471,22.5855,-1.08328,0.1845,21.639,-0.834934,-1.58773,16.6253,-2.32582,0.993931,26.2778,-0.129613,-0.02438,31.6283,-3.19405,0.061076,30.1158,-2.78683,-0.72745,24.9569,-4.25746,1.40718,35.2058,-1.67119
22.5,0.203315,21.9035,-0.873829,0.24709,20.7826,-0.585158,-1.20096,16.0265,-1.81316,1.06116,24.9756,0.01526,0.060843,31.0157,-2.97865,0.064675,29.2865,-2.60623,-0.9613,23.615,-4.04112,1.62489,34.6698,-1.50679
25,0.218642,20.8199,-0.621784,0.25545,19.6711,-0.333214,-0.90325,15.4095,-1.53007,0.981042,23.6887,0.349401,0.003251,30.4779,-2.9218,0.022062,28.4661,-2.47335,-0.98998,23.0421,-4.07777,1.00786,33.5304,-1.36415
27.5,0.182298,19.689,-0.410291,0.23234,18.2629,-0.046543,-0.95654,14.3076,-1.0705,0.886758,22.0438,0.55207,0.004761,29.9626,-2.81047,0.009521,27.6524,-2.31144,-1.07231,22.2562,-3.75648,0.894654,32.4888,-1.27784
30,0.163139,18.3971,-0.145319,0.18416,16.8811,0.210469,-0.96502,12.5103,-0.67735,0.811168,21.1644,0.753779,-0.08778,29.4366,-2.79076,-0.05039,26.994,-2.22993,-1.12735,21.5166,-3.58299,0.92496,31.0458,-1.17421
32.5,0.09591,17.1315,0.066823,0.14735,15.2704,0.530987,-1.01588,10.2515,-0.28355,0.765768,20.1984,0.97716,-0.21411,28.4079,-2.69708,-0.08848,25.771,-2.00459,-1.20224,20.5629,-3.50788,0.924263,30.3376,-0.04977
35,0.012076,15.4667,0.352061,0.05423,13.5703,0.816862,-1.07161,8.57667,0.04083,0.725128,18.0487,1.36249,-0.26393,27.3607,-2.52227,-0.18265,24.3694,-1.79578,-1.25414,19.5595,-3.15796,0.649539,29.107,-0.0255
37.5,-0.215274,13.3983,0.585828,-0.15246,11.2776,1.12439,-1.14349,3.16493,0.27328,0.664053,15.3146,2.21282,-0.33777,25.8982,-2.28131,-0.27623,22.4724,-1.47737,-1.28898,17.7913,-2.72794,0.518795,27.4636,0.193449
40,-0.885133,10.3297,0.605357,-0.68368,8.31264,1.26347,-1.67018,0.668503,0.6057,0.552584,12.8951,2.6252,-0.48257,24.2922,-2.07898,-0.36738,20.5308,-1.14452,-1.33124,16.1417,-2.15474,0.454003,24.4748,0.60981
42.5,-1.65392,7.5662,0.462943,-1.29884,5.66621,1.25181,-2.94034,0.274441,-0.21569,0.197393,11.1178,2.35379,-0.8056,22.2455,-1.95728,-0.53331,18.7255,-0.9141,-1.39859,12.8217,-2.19213,0.33731,22.8404,0.546305
45,-1.55035,6.2613,0.864166,-1.17193,4.45934,1.65562,-2.54869,-0.500181,0.13328,0.144213,10.3583,2.70427,-1.10528,20.814,-1.94441,-0.84798,16.8874,-0.82306,-5.98031,10.7455,-6.05271,0.178931,19.7798,1.20128
47.5,-1.19341,4.77264,1.56216,-0.93506,3.35218,2.14744,-3.06017,-0.938124,0.92676,0.147116,9.74823,3.18297,-1.36921,19.1637,-1.84639,-1.08926,15.4676,-0.74947,-6.26583,10.5264,-5.96526,0.043194,17.1702,1.219
50,-1.04131,3.99207,1.89373,-0.87004,2.81966,2.3354,-2.57783,-1.24386,1.23496,0.006618,9.38809,3.33505,-1.81648,18.0423,-2.04672,-1.55,14.4373,-0.98089,-7.21239,10.6494,-6.46524,0.135737,16.5763,0.89056
52.5,-1.06929,3.24422,2.03812,-0.91254,2.14338,2.44934,-2.6864,-1.33801,1.17416,-0.066881,7.80492,3.32481,-2.01341,16.5074,-1.90435,-1.73473,12.9838,-0.8409,-7.12193,8.99545,-6.15177,-0.06839,15.747,0.998777
55,-1.19852,3.29339,1.89754,-0.9483,2.17887,2.40536,-2.65656,-1.35441,1.2759,0.008128,7.85738,3.21935,-2.51966,14.7279,-2.01529,-2.30636,11.2556,-1.02458,-7.50313,7.92787,-5.80742,-0.25963,13.6039,1.12519
57.5,-1.51586,2.10797,1.85422,-1.18587,1.41894,2.34397,-3.36601,-1.45239,0.65464,-0.162443,6.14589,3.06225,-2.99259,13.1863,-2.14408,-2.90388,9.41529,-1.20673,-7.69484,5.97442,-5.51727,-1.35946,12.7435,0.248699
60,-1.02099,2.63799,2.22645,-0.7977,2.13683,2.5657,-1.73055,-1.58589,2.16257,0.13295,7.6705,2.94834,-3.38703,11.7793,-2.223,-3.19788,8.10079,-1.2026,-7.77797,4.91308,-5.29092,-1.36677,12.1399,0.427802
62.5,-0.960955,2.39135,2.34353,-0.77773,2.04319,2.60736,-1.90519,-1.40476,2.19519,0.224796,7.61624,3.12927,-4.16476,10.2587,-2.65825,-3.48944,6.95013,-1.2322,-7.81385,3.9848,-5.1124,-1.41682,12.6373,0.630361
65,-1.17727,1.25736,2.39008,-0.94586,1.04145,2.67165,-1.97822,-1.65628,2.22448,0.240239,7.00246,3.47284,-4.19762,8.50177,-2.29341,-3.86298,5.37852,-1.24641,-8.235,2.43922,-5.42436,-1.62617,12.9626,1.01646
67.5,-1.20015,1.0805,2.40829,-0.90778,0.967081,2.72702,-2.44535,-1.4299,1.67625,0.135504,5.82625,3.55307,-7.32397,5.961,-4.84079,-7.18939,2.64217,-3.94293,-9.84085,0.799842,-6.70526,-2.18537,3.65462,1.48831
70,-1.41786,-0.032361,2.44964,-1.15185,-0.286484,2.77494,-2.12615,-1.6072,2.042,0.136201,4.9048,3.69135,-8.86956,5.37556,-6.25231,-8.80558,2.04835,-5.42169,-9.54394,1.47944,-6.30621,-8.00521,2.67996,-4.48942
72.5,-1.57148,-0.666082,2.44397,-1.24102,-0.581905,2.75476,-2.46741,-1.60279,1.67286,0.124938,3.15751,3.79668,-9.01667,5.16405,-6.35093,-8.86224,0.974148,-5.22909,-9.31311,0.374099,-5.82431,-8.1197,1.59579,-4.34693
75,-1.72208,-1.14203,2.40468,-1.33542,-0.855589,2.72432,-2.07193,-1.60284,1.96338,0.121803,2.00027,3.78025,-9.16704,4.72068,-6.39954,-8.63292,1.47427,-5.11593,-8.85562,1.07854,-5.45816,-8.26135,3.29654,-4.75633
77.5,-1.74716,-1.43636,2.44852,-1.4484,-1.13319,2.67629,-2.11431,-1.64265,2.12242,-0.128421,0.778756,3.56237,-9.47033,4.31041,-6.60853,-8.13398,2.08684,-4.759,-8.43518,1.39495,-5.10386,-7.807,3.00654,-4.3713
80,-1.86885,-1.58087,2.3607,-1.62919,-1.3605,2.54872,-2.18746,-1.60559,2.0446,-1.0103,-0.978715,3.08634,-8.76145,3.606,-5.73749,-8.06036,1.10172,-4.45686,-8.29131,0.615933,-4.93343,-7.87563,2.40995,-4.21832
82.5,-2.01248,-1.63337,2.22938,-1.76818,-1.43915,2.42816,-2.14763,-1.56734,2.07874,-1.50332,-1.16765,2.69099,-8.35866,3.10905,-5.22005,-8.02309,0.337212,-4.24173,-8.08149,-0.22715,-4.52473,-7.92056,1.38599,-4.12003
85,-2.05393,-1.65302,2.19254,-1.8015,-1.44638,2.39653,-2.01782,-1.53194,2.19993,-1.64777,-1.26456,2.50788,-8.24115,2.98497,-5.0739,-7.99569,0.194316,-4.18103,-8.02855,-0.12603,-4.24815,-7.95435,0.604768,-4.11777
87.5,-2.08958,-1.6701,2.16089,-1.87384,-1.49882,2.33647,-1.89845,-1.54483,2.31708,-1.82658,-1.42832,2.36738,-8.22466,2.8495,-5.02612,-7.98849,0.266062,-4.19055,-7.99604,0.042735,-4.24816,-7.9713,0.489574,-4.13272
